start_station_name,member_casual,rides_total,avg_trip_duration,max_trip_duration,min_trip_duration
,member,525816,11.948040759505213,481,1
,casual,305569,13.336689912916551,480,1
Streeter Dr & Grand Ave,casual,44939,35.003716148556919,1382,1
DuSable Lake Shore Dr & Monroe St,casual,29794,35.145197019534152,1439,1
Kingsbury St & Kinzie St,member,25609,8.6833925573040709,1342,1
Clinton St & Washington Blvd,member,25587,10.782663071090795,1397,1
Clark St & Elm St,member,24492,10.956148946594807,1317,1
Michigan Ave & Oak St,casual,22159,35.9337063946929,1408,1
Wells St & Concord Ln,member,20975,10.868843861740164,1314,1
Wells St & Elm St,member,20040,9.6662175648702586,1252,1
Clinton St & Madison St,member,20023,10.474404434899865,1401,1
DuSable Lake Shore Dr & North Blvd,casual,19885,26.908071410611015,1314,1
Millennium Park,casual,19689,38.034638630707505,1409,1
University Ave & 57th St,member,19581,7.3117818293243424,1429,1
Broadway & Barry Ave,member,18599,12.166514328727352,1329,1
Loomis St & Lexington St,member,18363,8.87017371889125,1370,1
Ellis Ave & 60th St,member,17838,6.5196770938446011,1160,1
State St & Chicago Ave,member,17798,11.355714125182603,1411,1
Shedd Aquarium,casual,17389,30.228765311403752,1385,1
Canal St & Adams St,member,17109,11.655795195511136,1069,1
Streeter Dr & Grand Ave,member,16803,18.938344343272028,1023,1
Larrabee St & Kingsbury St,member,16640,9.4038461538461551,1420,1
Clinton St & Jackson Blvd,member,16612,10.945581507344089,1256,1
Wells St & Huron St,member,16602,9.5969762679195245,1411,1
Morgan St & Polk St,member,16523,8.2173334140289267,1330,1
Wilton Ave & Belmont Ave,member,16455,10.160498328775448,1093,1
Sheffield Ave & Fullerton Ave,member,16442,9.0473178445444535,1439,1
Dearborn St & Erie St,member,16358,11.033317031421934,1016,1
State St & 33rd St,member,16233,7.7019035298466072,1012,1
Theater on the Lake,casual,15995,29.500343857455462,1384,1
Desplaines St & Kinzie St,member,15754,8.9669925098387733,1084,1
Wells St & Hubbard St,member,15614,9.8332265915204342,969,1
DuSable Lake Shore Dr & North Blvd,member,15190,16.8560236998025,784,1
Dusable Harbor,casual,15139,35.168373076160911,1439,1
Wabash Ave & Grand Ave,member,15130,12.328354263053534,1237,1
Clark St & Armitage Ave,member,15066,12.074405947165802,707,1
St. Clair St & Erie St,member,14988,12.886909527622105,1439,1
Broadway & Waveland Ave,member,14972,10.757413839166443,1401,1
Kingsbury St & Erie St,member,14954,8.23150996388926,1067,1
Clark St & Wrightwood Ave,member,14788,10.756153638084934,1170,1
Halsted St & Polk St,member,14607,8.7382761689600912,1348,1
Halsted St & Clybourn Ave,member,14479,11.551143034739965,1300,1
Ashland Ave & Division St,member,14431,12.072344258887121,1140,1
Michigan Ave & Oak St,member,14353,19.535219117954433,1431,1
Dearborn Pkwy & Delaware Pl,member,14306,11.518593597092122,902,1
Green St & Madison St,member,14271,10.941559806600802,947,1
Ellis Ave & 55th St,member,14239,6.6961163003019859,1343,1
Lincoln Ave & Fullerton Ave,member,14233,11.229466732241969,1439,1
Clark St & Lincoln Ave,member,14201,12.066192521653402,1220,1
Indiana Ave & Roosevelt Rd,member,14156,14.368465668267875,1439,1
Pine Grove Ave & Waveland Ave,member,13943,13.214229362404074,1064,1
Orleans St & Merchandise Mart Plaza,member,13720,10.065597667638482,1393,1
Dearborn St & Monroe St,member,13656,11.638181019332162,1073,1
Canal St & Madison St,member,13643,11.050135600674338,1133,1
Clark St & Drummond Pl,member,13626,11.820710406575664,1257,1
MLK Jr Dr & 29th St,member,13597,10.062955063616974,973,1
LaSalle St & Illinois St,member,13547,12.455229940208168,1191,1
Wabash Ave & Roosevelt Rd,member,13508,11.038865857269764,1353,1
Theater on the Lake,member,13412,19.900909633164332,1429,1
Michigan Ave & Washington St,member,13176,12.857847601700056,1374,1
Broadway & Cornelia Ave,member,13093,11.396013136790652,1116,1
Southport Ave & Waveland Ave,member,13023,10.727174998080319,1270,1
Sheridan Rd & Irving Park Rd,member,13021,9.8338069272713327,1337,1
Clinton St & Lake St,member,12970,9.4541249036237467,1065,1
Peoria St & Jackson Blvd,member,12931,10.074549532132085,1308,1
Damen Ave & Pierce Ave,member,12899,12.484611210171332,1190,1
Columbus Dr & Randolph St,member,12774,12.395021136683889,951,1
Daley Center Plaza,member,12763,12.89156154509128,935,1
Michigan Ave & Lake St,member,12681,12.101096128065606,858,1
Halsted St & Roscoe St,member,12630,11.400950118764841,1196,1
Clark St & Schiller St,member,12456,11.698458574181117,1337,1
McClurg Ct & Ohio St,member,12388,13.988214401033263,1421,1
Larrabee St & Webster Ave,member,12269,10.875784497514056,1233,1
Ravenswood Ave & Lawrence Ave,member,12261,10.440013049506565,1431,1
Halsted St & Wrightwood Ave,member,12163,10.573378278385269,1126,1
Franklin St & Monroe St,member,12132,10.857237059017477,957,1
DuSable Lake Shore Dr & Diversey Pkwy,member,12127,15.881339160550837,1332,1
Southport Ave & Roscoe St,member,12125,11.078185567010312,1143,1
Federal St & Polk St,member,12051,11.159903742428011,924,1
Clark St & Newport St,member,12016,11.105276298268976,1248,1
Wells St & Concord Ln,casual,11963,16.496447379419873,1412,1
Sheffield Ave & Webster Ave,member,11874,10.025686373589348,1037,1
LaSalle St & Jackson Blvd,member,11818,10.589355220849553,1432,1
Canal St & Monroe St,member,11775,10.527303609341823,900,1
Lakeview Ave & Fullerton Pkwy,member,11704,12.768028024606968,1358,1
Adler Planetarium,casual,11648,33.641397664835161,1375,1
Racine Ave & Fullerton Ave,member,11623,10.956895810031835,1013,1
Montrose Harbor,casual,11575,34.072570194384454,1390,1
