ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,member_casual,tripduration_minutes,day_of_week,month,year,hour
D3A341E524E41192,electric_bike,9/30/2023 23:12:49,9/30/2023 23:24:25,,,,,member,11,Saturday,September,2023,23
316BA73C18AEE2E1,electric_bike,8/27/2023 13:56:01,8/27/2023 14:01:56,,,,,casual,5,Sunday,August,2023,13
17DCD0FBE8A2F1B2,electric_bike,11/30/2023 13:54:35,11/30/2023 14:07:11,,,,,member,12,Thursday,November,2023,13
DA16D64B8D98C999,electric_bike,6/10/2023 16:31:18,6/10/2023 16:38:31,,,,,member,7,Saturday,June,2023,16
D8C986C2886044C4,electric_bike,8/18/2023 16:53:14,8/18/2023 16:59:45,,,,,casual,6,Friday,August,2023,16
60EA74545B9D895F,electric_bike,8/26/2023 4:16:40,8/26/2023 4:17:51,,,,,casual,1,Saturday,August,2023,4
6A12559BF62A4356,electric_bike,6/30/2023 18:53:50,6/30/2023 19:02:08,,,,,member,8,Friday,June,2023,18
D6CBE404924D1C7F,electric_bike,9/12/2023 20:59:51,9/12/2023 21:14:11,,,,,member,14,Tuesday,September,2023,20
0F0F089082D2E8C4,electric_bike,6/11/2023 13:40:15,6/11/2023 13:44:24,,,,,casual,4,Sunday,June,2023,13
C15C8ED807B54A8E,electric_bike,2/10/2023 14:49:37,2/10/2023 14:57:57,,,,,member,8,Friday,February,2023,14
1BFDB58F0DE72F83,electric_bike,9/6/2023 20:34:56,9/6/2023 20:43:37,,,,,casual,8,Wednesday,September,2023,20
C922357090A4A59F,electric_bike,6/2/2023 13:40:07,6/2/2023 13:53:42,,,,,casual,13,Friday,June,2023,13
F303706B60CF7C1F,electric_bike,8/10/2023 11:03:47,8/10/2023 11:08:10,,,,,casual,4,Thursday,August,2023,11
C48BFCA2C4E6CA3C,electric_bike,2/9/2023 20:19:50,2/9/2023 20:34:52,,,,,member,15,Thursday,February,2023,20
4EC9916968797CED,electric_bike,2/10/2023 16:29:27,2/10/2023 16:32:52,,,,,member,3,Friday,February,2023,16
D448CA18A633056E,electric_bike,11/8/2023 14:59:30,11/8/2023 15:09:42,,,,,member,10,Wednesday,November,2023,14
BB89153EB749C16C,electric_bike,8/12/2023 16:44:08,8/12/2023 16:47:43,,,,,member,3,Saturday,August,2023,16
6C5BF1E3A43B004E,electric_bike,8/10/2023 16:45:19,8/10/2023 17:05:38,,,,,casual,20,Thursday,August,2023,16
43E1EA5633BED4AE,electric_bike,9/3/2023 14:36:43,9/3/2023 14:38:21,,,,,casual,1,Sunday,September,2023,14
B8600CEEE17E927E,electric_bike,8/30/2023 18:41:40,8/30/2023 18:52:18,,,,,member,10,Wednesday,August,2023,18
67898C1FA7AA554F,electric_bike,9/29/2023 14:17:02,9/29/2023 14:31:08,,,,,casual,14,Friday,September,2023,14
935A8AAB6683B238,electric_bike,4/29/2023 8:02:12,4/29/2023 8:06:42,,,,,casual,4,Saturday,April,2023,8
526C4603C452597E,electric_bike,10/11/2023 7:57:33,10/11/2023 8:14:10,,,,,member,16,Wednesday,October,2023,7
C420EB9D1B282ABB,electric_bike,8/15/2023 17:29:00,8/15/2023 17:38:04,,,,,member,9,Tuesday,August,2023,17
8C4555D4DA446EE8,electric_bike,8/15/2023 23:24:11,8/15/2023 23:34:21,,,,,casual,10,Tuesday,August,2023,23
E3F7A29AC2E4A4DC,electric_bike,2/7/2023 12:53:42,2/7/2023 13:04:26,,,,,member,10,Tuesday,February,2023,12
1BA8D0B6459BA7AB,electric_bike,9/22/2023 13:34:03,9/22/2023 13:39:14,,,,,member,5,Friday,September,2023,13
F7D647DE91F9E320,electric_bike,9/15/2023 19:38:16,9/15/2023 19:55:55,,,,,member,17,Friday,September,2023,19
9C5C0B57442DAB0B,electric_bike,1/24/2023 17:27:23,1/24/2023 17:28:43,,,,,member,1,Tuesday,January,2023,17
03F74005C66CEB21,electric_bike,9/18/2023 7:14:55,9/18/2023 7:22:06,,,,,member,7,Monday,September,2023,7
286F469B6CE8B9B1,electric_bike,12/9/2023 5:20:19,12/9/2023 5:42:05,,,,,member,21,Saturday,December,2023,5
31569D905403FEFE,electric_bike,8/4/2023 12:57:51,8/4/2023 13:46:58,,,,,casual,49,Friday,August,2023,12
3D3F623ECD042030,electric_bike,8/22/2023 21:31:51,8/22/2023 21:34:45,,,,,member,2,Tuesday,August,2023,21
FDE4DE89D40F8D5B,electric_bike,6/25/2023 17:20:20,6/25/2023 17:48:02,,,,,casual,27,Sunday,June,2023,17
A431CE16EEC38225,electric_bike,8/19/2023 16:03:16,8/19/2023 16:04:48,,,,,casual,1,Saturday,August,2023,16
70408919A4F323BA,electric_bike,8/27/2023 22:40:39,8/27/2023 22:43:10,,,,,member,2,Sunday,August,2023,22
8D3EBEBAAD6CE2C5,electric_bike,8/16/2023 11:47:46,8/16/2023 11:57:37,,,,,casual,9,Wednesday,August,2023,11
7EC045923F2D03D0,electric_bike,4/15/2023 19:36:49,4/15/2023 19:49:12,,,,,casual,12,Saturday,April,2023,19
56292300191F0F10,electric_bike,12/30/2023 14:31:10,12/30/2023 14:37:31,,,,,member,6,Saturday,December,2023,14
4F96EAC793C7D822,electric_bike,12/6/2023 19:16:05,12/6/2023 19:23:18,,,,,member,7,Wednesday,December,2023,19
666EAB371DD690D4,electric_bike,12/9/2023 22:24:01,12/9/2023 22:36:00,,,,,member,11,Saturday,December,2023,22
79600FC93FD45D88,electric_bike,8/22/2023 17:07:06,8/22/2023 17:12:05,,,,,member,4,Tuesday,August,2023,17
