member_casual,hour,total_rides
casual,0,35612
casual,1,23077
casual,2,13934
casual,3,7660
casual,4,5765
casual,5,11136
casual,6,29380
casual,7,51725
casual,8,68983
casual,9,68176
casual,10,84406
casual,11,107489
casual,12,127288
casual,13,132815
casual,14,138616
casual,15,154660
casual,16,177365
casual,17,193620
casual,18,167185
casual,19,123454
casual,20,89290
casual,21,74945
casual,22,66266
casual,23,47641
member,0,34470
member,1,20507
member,2,11891
member,3,7725
member,4,8489
member,5,33258
member,6,102636
member,7,190026
member,8,238309
member,9,160677
member,10,144776
member,11,171835
member,12,194594
member,13,193250
member,14,196189
member,15,239935
member,16,322783
member,17,377793
member,18,299584
member,19,212058
member,20,147663
member,21,114624
member,22,85551
member,23,54734
