day_of_week,member_casual,rides_total,avg_trip_duration,max_trip_duration,min_trip_duration
Thursday,member,573645,11.389061178952142,1431,1
Wednesday,member,571412,11.307188158456613,1434,1
Tuesday,member,561796,11.385745003524407,1439,1
Friday,member,517105,11.816884385182885,1433,1
Monday,member,481793,11.248125232205552,1432,1
Saturday,member,459719,13.311860071043407,1439,1
Saturday,casual,398741,23.571200353111394,1439,1
Sunday,member,397887,13.305031327990118,1439,1
Sunday,casual,325768,24.297932884752338,1431,1
Friday,casual,303098,20.121036760387749,1439,1
Thursday,casual,263024,18.023670843725252,1436,1
Wednesday,casual,242207,17.621695491872607,1440,1
Tuesday,casual,239372,18.495780625971328,1438,1
Monday,casual,228278,20.360972147994996,1436,1
